name,sex,RUID,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,is_single_preferred,preferred_price_range,max_price,roommate_preferences,weights,lottery_number,assigned
Brian Daniels,M,906155943,Freshman,School of Social Work,1,1,['WS' 'BS' 'SA'],Suite,1,6000-8000,9000,"[956668962, 743988610]",35,490,0
Jillian Edwards,F,152782265,Freshman,School of Environmental and Biological Sciences,1,1,['RA' 'MH' 'BS'],Suite,1,8000-11000,12000,"[842369533, 626751036]",35,1526,0
Amber Gates,F,312170287,Freshman,School of Arts and Sciences,1,1,['MZH' 'JS' 'NCA'],Traditional Residence Hall,1,4000-6000,7000,[],35,3292,0
Gabriel Proctor,M,755331365,Freshman,School of Arts and Sciences,1,1,['NCA' 'MS' 'RA'],Suite,1,6000-8000,9000,"[694212164, 869964826]",35,3445,0
William Johnson,M,199302575,Freshman,Mason Gross School of the Arts,1,1,['NCA' 'TS' 'MH'],Suite,1,4000-6000,7000,[],35,4165,0
Laura Manning,F,940833526,Freshman,Mason Gross School of the Arts,1,1,['BS' 'SA' 'BH'],Apartment,1,8000-11000,12000,"[508705937, 804235221]",35,4196,0
Richard James,M,962353610,Freshman,School of Arts and Sciences,1,1,['AH' 'NCA' 'MH'],Traditional Residence Hall,1,8000-11000,12000,"[662988800, 214978631]",35,4395,0
Kathy Davis,F,398016271,Freshman,School of Arts and Sciences,1,1,['BS' 'CS' 'NCA'],Apartment,1,8000-11000,12000,"[191776742, 868994986]",35,5510,0
David Gibson,M,619769760,Freshman,School of Arts and Sciences,1,1,['SA' 'NCA' 'CS'],Traditional Residence Hall,1,8000-11000,12000,"[711429324, 310585976]",35,6346,0
Stephanie Taylor,F,508325503,Freshman,School of Communication and Information,1,1,['SA' 'WS' 'NCA'],Suite,1,8000-11000,12000,"[944254915, 631597467]",35,6471,0
Christopher Gray,M,723108234,Freshman,Mason Gross School of the Arts,1,1,['JS' 'SA' 'RA'],Suite,1,8000-11000,12000,[530355757],35,6678,0
Gregory Caldwell,M,491878155,Freshman,School of Arts and Sciences,1,1,['MH' 'NCA' 'BS'],Suite,1,8000-11000,12000,[960557845],35,7116,0
Marie Hale,F,945815688,Freshman,School of Engineering,1,1,['NCA' 'RA' 'BH'],Suite,1,8000-11000,12000,[455303008],35,7173,0
David Jackson,M,124360273,Freshman,School of Social Work,1,1,['TS' 'BH' 'NCA'],Suite,1,4000-6000,7000,[],35,7440,0
Nathan Hughes,M,777342549,Freshman,School of Arts and Sciences,1,1,['SA' 'NCA' 'MZH'],Suite,1,4000-6000,7000,"[517136103, 227797283]",35,7482,0
Todd Chavez,M,916279542,Freshman,School of Arts and Sciences,1,1,['SA' 'NCA' 'RA'],Apartment,1,8000-11000,12000,"[221926956, 270149989]",35,7604,0
Patricia Davis,F,532612536,Freshman,School of Engineering,1,1,['RA' 'CS' 'NCA'],Suite,1,4000-6000,7000,"[216480230, 139088686]",35,9097,0
Sherry Ellison,F,280087476,Freshman,Mason Gross School of the Arts,1,1,['MS' 'MH' 'WS'],Traditional Residence Hall,1,6000-8000,9000,[],35,9882,0
Robin Martinez,F,785947678,Freshman,School of Arts and Sciences,1,1,['BS' 'RA' 'BH'],Apartment,1,8000-11000,12000,[],35,10886,0
Katherine Miller,F,111497685,Freshman,School of Management and Labor Relations,1,1,['MS' 'BH' 'CS'],Traditional Residence Hall,1,8000-11000,12000,"[215195148, 336145831]",35,11611,0
Ashley Greer,F,897130133,Freshman,School of Management and Labor Relations,1,1,['BH' 'WS' 'NCA'],Apartment,1,4000-6000,7000,[688134247],35,13379,0
Leslie Jackson,F,645626769,Freshman,School of Communication and Information,1,1,['JS' 'RA' 'BS'],Suite,1,6000-8000,9000,[],35,13710,0
Charles Ward,M,535838563,Freshman,School of Engineering,1,1,['SA' 'NCA' 'CS'],Suite,1,6000-8000,9000,"[829347254, 746025161]",35,13767,0
Eddie Smith,M,988955242,Freshman,School of Arts and Sciences,1,1,['SA' 'BS' 'MS'],Suite,1,4000-6000,7000,"[390557915, 509388283]",35,14705,0
Amy Cross,F,604791093,Freshman,School of Social Work,1,1,['BS' 'SA' 'NCA'],Suite,1,6000-8000,9000,[765882584],35,15615,0
David Bowen,M,727591312,Freshman,School of Arts and Sciences,1,1,['WS' 'RA' 'MS'],Apartment,1,8000-11000,12000,[],35,17706,0
Bianca Harrell,F,400880058,Freshman,School of Communication and Information,1,1,['SA' 'NCA' 'MH'],Suite,1,8000-11000,12000,[353703005],35,17868,0
Mr. Joshua Fox,M,509743086,Freshman,School of Arts and Sciences,1,1,['MH' 'SA' 'CS'],Suite,1,4000-6000,7000,"[285438277, 990285547]",35,18073,0
Elizabeth Roberts,F,367389892,Freshman,School of Arts and Sciences,1,1,['BS' 'JS' 'NCA'],Traditional Residence Hall,1,8000-11000,12000,"[479665689, 850643583]",35,20439,0
Eric Mcguire,M,782031001,Junior,School of Arts and Sciences,1,1,['SA' 'NCA' 'MS'],Apartment,1,8000-11000,12000,[383167218],30,721,0
Marcus Shaw,M,633042485,Junior,School of Arts and Sciences,1,1,['NCA' 'BS' 'AH'],Apartment,1,6000-8000,9000,[],30,874,0
David Reyes,M,804561863,Sophomore,School of Social Work,1,1,['SA' 'RA' 'BS'],Apartment,1,8000-11000,12000,[],30,2262,0
Brett Nielsen,M,473480806,Junior,Edward J. Bloustein School of Planning and Public Policy,1,1,['MRS' 'MZH' 'MH'],Apartment,1,8000-11000,12000,[941122497],30,2381,0
Matthew Schaefer,M,712701549,Doctorate,School of Graduate Studies,1,1,['BA' 'JA'],Apartment,1,9000-10500,11500,[453585903],30,3059,0
Dr. Logan Foster,M,371687366,Junior,School of Arts and Sciences,1,1,['BH' 'BS' 'MZH'],Suite,1,4000-6000,7000,[],30,3228,0
Charles Smith,M,259235621,Masters,Graduate School of Education,1,1,['JA' 'BA'],Apartment,1,9000-10500,11500,[717820322],30,3918,0
Christian Keller,M,855087868,Doctorate,School of Graduate Studies,1,1,['JA' 'BA'],Apartment,1,9000-10500,11500,[],30,3994,0
Alyssa Arias,F,348938666,Doctorate,Graduate School of Education,1,1,['JA' 'BA'],Apartment,1,10500-12000,13000,[],30,4190,0
Patricia Cardenas,F,727401636,Junior,Edward J. Bloustein School of Planning and Public Policy,1,1,['NCA' 'SA' 'RA'],Apartment,1,6000-8000,9000,"[280675721, 821736837]",30,4233,0
Madison Raymond,F,925776060,Senior,School of Engineering,1,1,['MRS' 'BS' 'BH'],Traditional Residence Hall,1,8000-11000,12000,[],30,4703,0
Christopher Mcmillan,M,899960331,Sophomore,School of Environmental and Biological Sciences,1,1,['JS' 'BS' 'SA'],Apartment,1,4000-6000,7000,"[570695388, 610136614]",30,6148,0
Sarah Hernandez,F,788083481,Junior,School of Environmental and Biological Sciences,1,1,['CS' 'AH' 'SA'],Suite,1,8000-11000,12000,"[596038656, 389625159]",30,6681,0
Jasmine Haas,F,265647131,Doctorate,Graduate School of Education,1,1,['JA' 'BA'],Apartment,1,9000-10500,11500,"[240825560, 471917519]",30,7089,0
James Whitney,M,741979671,Senior,Rutgers Business School–Newark and New Brunswick,1,1,['SA' 'RA' 'WS'],Apartment,1,8000-11000,12000,[],30,7256,0
Melody Mcdonald,F,358523559,Junior,Mason Gross School of the Arts,1,1,['WS' 'RA' 'NCA'],Traditional Residence Hall,1,6000-8000,9000,"[436814690, 735514799]",30,8543,0
Samantha Porter,F,349706137,Junior,School of Arts and Sciences,1,1,['WS' 'SA' 'MH'],Suite,1,6000-8000,9000,[],30,8759,0
Justin Miles,M,484798610,Sophomore,School of Arts and Sciences,1,1,['AH' 'MS' 'MH'],Suite,1,8000-11000,12000,"[559594740, 138620691]",30,9043,0
Christopher Davis Jr.,M,229111712,Senior,Rutgers Business School–Newark and New Brunswick,1,1,['MS' 'BS' 'SA'],Suite,1,8000-11000,12000,"[146033002, 381718866]",30,9765,0
Eric Hammond,M,334893667,Senior,School of Communication and Information,1,1,['BH' 'BS' 'NCA'],Suite,1,8000-11000,12000,"[511913334, 664871607]",30,9989,0
Sally Garcia,F,978755356,Sophomore,School of Arts and Sciences,1,1,['RA' 'BS' 'NCA'],Suite,1,6000-8000,9000,[512100232],30,10202,0
Erin Washington,F,814673942,Sophomore,School of Arts and Sciences,1,1,['MRS' 'CS' 'BS'],Traditional Residence Hall,1,8000-11000,12000,[],30,10915,0
John Weaver,M,708618762,Sophomore,Rutgers Business School–Newark and New Brunswick,1,1,['JS' 'BS' 'NCA'],Suite,1,4000-6000,7000,[],30,12027,0
