name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,preferred_price_range,max_price,roommate_preferences,weights,lottery_number,assigned
Jessica Newton,F,873591164,2001-04-28,Freshman,School of Environmental and Biological Sciences,1,1,['RA' 'NCA' 'JS'],Apartment,8000-11000,10000,"[948238483, 668497217]",35,1680,0
Sara Kelley,F,355414944,2002-04-26,Freshman,School of Arts and Sciences,1,1,['BH' 'BS' 'JS'],Apartment,6000-8000,7000,[313477735],35,1979,0
Amy Gray,F,500676165,2002-09-21,Freshman,School of Arts and Sciences,1,1,['AH' 'SA' 'BS'],Traditional Residence Hall,4000-6000,5000,"[892853148, 555117496]",35,2237,0
Amy Andrews,F,170008579,2003-01-20,Freshman,School of Environmental and Biological Sciences,1,1,['BS' 'SA' 'NCA'],Apartment,8000-11000,10000,[],35,2483,0
Stacey Reid,F,895557022,2004-06-09,Freshman,Rutgers Business School–Newark and New Brunswick,1,1,['TS' 'BS' 'JS'],Traditional Residence Hall,8000-11000,10000,[],35,3579,0
Vanessa Carrillo,F,110322866,2002-11-26,Freshman,School of Arts and Sciences,1,1,['TS' 'MZH' 'RA'],Traditional Residence Hall,6000-8000,7000,"[114942167, 594262393]",35,4973,0
Paula Hernandez DDS,F,913922528,2003-03-14,Freshman,School of Arts and Sciences,1,1,['WS' 'NCA' 'RA'],Suite,4000-6000,5000,[462024274],35,5969,0
John Fernandez,M,947968802,2003-03-14,Freshman,Mason Gross School of the Arts,1,1,['SA' 'AH' 'BS'],Suite,8000-11000,10000,"[720354579, 449155344]",35,6514,0
Marie Smith,F,857542321,2004-07-10,Freshman,School of Communication and Information,1,1,['RA' 'SA' 'NCA'],Apartment,8000-11000,10000,"[321250160, 694204982]",35,6807,0
Amanda Wiley,F,281272413,2000-12-09,Freshman,School of Arts and Sciences,1,1,['RA' 'BS' 'SA'],Apartment,4000-6000,5000,[389129964],35,7487,0
Diane Mcguire,F,632997885,2004-11-17,Freshman,School of Communication and Information,1,1,['RA' 'SA' 'MZH'],Suite,6000-8000,7000,[],35,8963,0
Nancy Johnson,F,427707307,2005-02-25,Freshman,Rutgers Business School–Newark and New Brunswick,1,1,['SA' 'MH' 'BS'],Suite,4000-6000,5000,"[713693066, 476551417]",35,10007,0
Colton Orr,M,765060458,2001-01-11,Freshman,School of Communication and Information,1,1,['CS' 'MZH' 'TS'],Suite,8000-11000,10000,"[140832173, 753403239]",35,11295,0
Andrea Harris,F,311046755,2001-07-17,Freshman,School of Arts and Sciences,1,1,['BS' 'MRS' 'MS'],Apartment,4000-6000,5000,"[163784376, 125541577]",35,11328,0
Amanda Valdez,F,727910793,2000-09-17,Freshman,School of Communication and Information,1,1,['RA' 'BS' 'MS'],Apartment,6000-8000,7000,[],35,13583,0
