name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,preferred_price_range,max_price,roommate_preferences,weights,lottery_number,assigned
William Johnson,M,199302575,2000-10-27,Freshman,Mason Gross School of the Arts,1,1,['NCA' 'TS' 'MH'],Suite,4000-6000,7000,[],35,146,0
Elizabeth Roberts,F,367389892,2005-04-09,Freshman,School of Arts and Sciences,1,1,['BS' 'JS' 'NCA'],Traditional Residence Hall,8000-11000,12000,"[479665689, 850643583]",35,604,0
Charles Ward,M,535838563,2000-04-14,Freshman,School of Engineering,1,1,['SA' 'NCA' 'CS'],Suite,6000-8000,9000,"[829347254, 746025161]",35,2401,0
Kathy Davis,F,398016271,2001-05-30,Freshman,School of Arts and Sciences,1,1,['BS' 'CS' 'NCA'],Apartment,8000-11000,12000,"[191776742, 868994986]",35,2420,0
Marie Hale,F,945815688,2002-03-07,Freshman,School of Engineering,1,1,['NCA' 'RA' 'BH'],Suite,8000-11000,12000,[455303008],35,2501,0
Gregory Caldwell,M,491878155,2001-12-07,Freshman,School of Arts and Sciences,1,1,['MH' 'NCA' 'BS'],Suite,8000-11000,12000,[960557845],35,2939,0
Stephanie Taylor,F,508325503,2001-02-06,Freshman,School of Communication and Information,1,1,['SA' 'WS' 'NCA'],Suite,8000-11000,12000,"[944254915, 631597467]",35,2968,0
Jillian Edwards,F,152782265,2003-12-31,Freshman,School of Environmental and Biological Sciences,1,1,['RA' 'MH' 'BS'],Suite,8000-11000,12000,"[842369533, 626751036]",35,3051,0
Amber Gates,F,312170287,2004-06-24,Freshman,School of Arts and Sciences,1,1,['MZH' 'JS' 'NCA'],Traditional Residence Hall,4000-6000,7000,[],35,4364,0
Leslie Jackson,F,645626769,2002-07-14,Freshman,School of Communication and Information,1,1,['JS' 'RA' 'BS'],Suite,6000-8000,9000,[],35,7960,0
David Bowen,M,727591312,1999-11-21,Freshman,School of Arts and Sciences,1,1,['WS' 'RA' 'MS'],Apartment,8000-11000,12000,[],35,8821,0
Sherry Ellison,F,280087476,2005-02-01,Freshman,Mason Gross School of the Arts,1,1,['MS' 'MH' 'WS'],Traditional Residence Hall,6000-8000,9000,[],35,9322,0
Amy Cross,F,604791093,2004-06-26,Freshman,School of Social Work,1,1,['BS' 'SA' 'NCA'],Suite,6000-8000,9000,[765882584],35,9454,0
David Gibson,M,619769760,2002-03-19,Freshman,School of Arts and Sciences,1,1,['SA' 'NCA' 'CS'],Traditional Residence Hall,8000-11000,12000,"[711429324, 310585976]",35,10821,0
Katherine Miller,F,111497685,2003-10-04,Freshman,School of Management and Labor Relations,1,1,['MS' 'BH' 'CS'],Traditional Residence Hall,8000-11000,12000,"[215195148, 336145831]",35,11444,0
Robin Martinez,F,785947678,2001-01-20,Freshman,School of Arts and Sciences,1,1,['BS' 'RA' 'BH'],Apartment,8000-11000,12000,[],35,11545,0
Patricia Davis,F,532612536,2003-06-23,Freshman,School of Engineering,1,1,['RA' 'CS' 'NCA'],Suite,4000-6000,7000,"[216480230, 139088686]",35,12639,0
Ashley Greer,F,897130133,2000-10-07,Freshman,School of Management and Labor Relations,1,1,['BH' 'WS' 'NCA'],Apartment,4000-6000,7000,[688134247],35,13091,0
Richard James,M,962353610,2005-01-20,Freshman,School of Arts and Sciences,1,1,['AH' 'NCA' 'MH'],Traditional Residence Hall,8000-11000,12000,"[662988800, 214978631]",35,15384,0
Todd Chavez,M,916279542,2002-12-25,Freshman,School of Arts and Sciences,1,1,['SA' 'NCA' 'RA'],Apartment,8000-11000,12000,"[221926956, 270149989]",35,15454,0
Nathan Hughes,M,777342549,2002-11-04,Freshman,School of Arts and Sciences,1,1,['SA' 'NCA' 'MZH'],Suite,4000-6000,7000,"[517136103, 227797283]",35,15909,0
David Jackson,M,124360273,2000-12-23,Freshman,School of Social Work,1,1,['TS' 'BH' 'NCA'],Suite,4000-6000,7000,[],35,17443,0
Christopher Gray,M,723108234,2005-02-16,Freshman,Mason Gross School of the Arts,1,1,['JS' 'SA' 'RA'],Suite,8000-11000,12000,[530355757],35,17559,0
Eddie Smith,M,988955242,1999-10-19,Freshman,School of Arts and Sciences,1,1,['SA' 'BS' 'MS'],Suite,4000-6000,7000,"[390557915, 509388283]",35,18669,0
Gabriel Proctor,M,755331365,2001-10-30,Freshman,School of Arts and Sciences,1,1,['NCA' 'MS' 'RA'],Suite,6000-8000,9000,"[694212164, 869964826]",35,18999,0
Laura Manning,F,940833526,2003-07-07,Freshman,Mason Gross School of the Arts,1,1,['BS' 'SA' 'BH'],Apartment,8000-11000,12000,"[508705937, 804235221]",35,19763,0
Mr. Joshua Fox,M,509743086,2000-12-28,Freshman,School of Arts and Sciences,1,1,['MH' 'SA' 'CS'],Suite,4000-6000,7000,"[285438277, 990285547]",35,19806,0
Brian Daniels,M,906155943,2002-05-28,Freshman,School of Social Work,1,1,['WS' 'BS' 'SA'],Suite,6000-8000,9000,"[956668962, 743988610]",35,20972,0
Bianca Harrell,F,400880058,2005-03-12,Freshman,School of Communication and Information,1,1,['SA' 'NCA' 'MH'],Suite,8000-11000,12000,[353703005],35,21010,0
Jill Lane,F,513557420,2000-07-06,Senior,School of Communication and Information,1,1,['BS' 'MS' 'NCA'],Traditional Residence Hall,8000-11000,12000,[],30,38,0
