name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,is_single_preferred,is_private_bathroom_preferred,laundry_availibility,preferred_price_range,max_price,roommate_preferences,lottery_number
Jennifer Huff,F,505021894,2004-03-25,Freshman,School of Arts and Sciences,0,1,['SA' 'JS' 'BS'],Apartment,1,1,1,8000-11000,12000,"[742544714, 910629355]",6
Karen Castaneda,F,154553788,2003-01-01,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['WS' 'MZH' 'BS'],Apartment,1,1,0,4000-6000,7000,"[876006525, 236203902]",13
James Floyd,M,757152611,2000-12-11,Freshman,School of Management and Labor Relations,0,1,['MRS' 'BS' 'MZH'],Apartment,1,1,1,4000-6000,7000,[],17
John Flores,M,499371607,2005-05-25,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['TS' 'MZH' 'MRS'],Traditional Residence Hall,1,1,1,4000-6000,7000,[136510099],17
Kayla Arnold,F,636061740,2004-05-13,Freshman,School of Arts and Sciences,0,0,['BS' 'SA' 'MRS'],Apartment,1,1,0,6000-8000,9000,"[528424318, 312016214]",25
Jeffrey Brown,M,579048589,2005-07-14,Freshman,School of Arts and Sciences,0,0,['BS' 'BH' 'TS'],Traditional Residence Hall,1,1,1,8000-11000,12000,[],26
Tina Williams,F,865296851,2002-09-25,Freshman,School of Arts and Sciences,0,0,['SA' 'BS' 'CS'],Traditional Residence Hall,1,1,0,6000-8000,9000,[660628197],27
Mark Smith,M,881458781,2002-05-31,Freshman,School of Environmental and Biological Sciences,0,1,['BS' 'JS' 'TS'],Suite,1,1,1,8000-11000,12000,"[244667031, 931090335]",30
Tony Ponce,M,986632748,2001-03-17,Freshman,School of Arts and Sciences,0,0,['SA' 'RA' 'CS'],Suite,1,1,0,6000-8000,9000,"[813567521, 378990018]",34
Brian Wang,M,227916921,2004-10-14,Junior,School of Environmental and Biological Sciences,0,0,['TS' 'JS' 'AH'],Apartment,1,1,1,6000-8000,9000,"[593762010, 228795012]",47
Jose Thompson,M,597930884,2000-01-14,Sophomore,School of Management and Labor Relations,0,0,['NCA' 'BS' 'RA'],Apartment,1,1,1,8000-11000,12000,"[874943801, 609973676]",47
Mr. John Lang,M,696576333,2005-07-18,Freshman,School of Arts and Sciences,0,1,['WS' 'TS' 'CS'],Apartment,1,1,0,4000-6000,7000,[],59
John Andrews,M,808209660,2005-01-09,Freshman,School of Arts and Sciences,1,0,['JS' 'NCA' 'RA'],Suite,1,1,1,4000-6000,7000,[255848212],66
Marie Williams,F,376370865,2003-04-23,Sophomore,School of Arts and Sciences,0,0,['SA' 'CS' 'MS'],Suite,1,1,1,8000-11000,12000,[525392600],70
Hannah West,F,672481774,2004-02-17,Freshman,Edward J. Bloustein School of Planning and Public Policy,1,0,['BS' 'JS' 'NCA'],Apartment,1,0,0,8000-11000,12000,"[175676215, 193428414]",75
Daniel Becker,M,811018351,2001-05-07,Sophomore,School of Arts and Sciences,0,1,['CS' 'JS' 'TS'],Apartment,1,0,1,8000-11000,12000,"[291966076, 353314522]",78
Kevin Bates,M,653935669,2001-12-22,Freshman,School of Communication and Information,0,0,['MRS' 'BS' 'AH'],Suite,1,1,1,6000-8000,9000,"[375163910, 278462154]",80
Steven Vazquez,M,765286737,2000-10-11,Freshman,School of Arts and Sciences,0,0,['SA' 'CS' 'BS'],Suite,1,1,1,4000-6000,7000,[678031376],82
Luis Vasquez,M,445699893,2004-08-27,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['NCA' 'BH' 'AH'],Apartment,1,1,1,8000-11000,12000,[115863810],84
Denise Simmons,F,317075122,1999-10-27,Freshman,School of Engineering,0,0,['NCA' 'MH' 'WS'],Apartment,1,1,1,8000-11000,12000,"[102918088, 381429715]",87
Jared Thomas,M,288716374,2001-05-31,Freshman,Mason Gross School of the Arts,0,0,['AH' 'SA' 'WS'],Apartment,1,1,1,6000-8000,9000,[597322037],88
Danny Ruiz,M,281935425,2005-01-25,Junior,School of Arts and Sciences,0,0,['WS' 'RA' 'MS'],Suite,1,1,1,4000-6000,7000,"[761449818, 259742799]",102
Tanya Holmes,F,336948761,2000-05-09,Sophomore,School of Arts and Sciences,0,1,['SA' 'MS' 'CS'],Suite,1,1,1,8000-11000,12000,[],111
Allen Dawson,M,214172824,1995-04-30,Doctorate,School of Graduate Studies,0,1,['BA' 'JA'],Apartment,1,0,1,10500-12000,13000,"[896634238, 880498077]",122
Christopher Rogers,M,867729508,2002-03-27,Senior,School of Arts and Sciences,1,1,['NCA' 'MH' 'BS'],Apartment,1,1,1,8000-11000,12000,"[550908020, 879869758]",122
Tiffany Tapia,F,843044751,2002-03-10,Freshman,School of Arts and Sciences,0,0,['SA' 'RA' 'NCA'],Suite,1,1,1,8000-11000,12000,[],124
Matthew Morgan,M,217582071,1999-10-21,Junior,School of Arts and Sciences,0,0,['MRS' 'SA' 'RA'],Suite,1,1,1,4000-6000,7000,[],126
Mrs. Donna Brown DVM,F,220677145,2002-12-18,Sophomore,Edward J. Bloustein School of Planning and Public Policy,1,0,['MS' 'SA' 'NCA'],Suite,1,1,1,8000-11000,12000,"[952542679, 690231685]",136
Chris Lang,M,314028650,2004-03-06,Sophomore,School of Arts and Sciences,0,0,['BS' 'NCA' 'SA'],Traditional Residence Hall,1,1,1,4000-6000,7000,[897599819],143
Angela Acosta,F,885682541,2002-03-06,Junior,School of Management and Labor Relations,0,0,['NCA' 'RA' 'SA'],Suite,1,1,0,4000-6000,7000,[702983217],145
Michael Diaz,M,163908259,2000-01-29,Freshman,School of Arts and Sciences,0,0,['MZH' 'BS' 'MH'],Apartment,1,0,1,6000-8000,9000,[636374306],149
Andrew Evans,M,503732721,2000-07-18,Junior,School of Arts and Sciences,0,0,['BS' 'JS' 'BH'],Suite,1,1,1,4000-6000,7000,"[527507680, 165472278]",150
Shannon Warren,F,827793923,2005-08-21,Sophomore,School of Arts and Sciences,0,0,['BS' 'JS' 'NCA'],Apartment,1,1,1,6000-8000,9000,"[840121411, 285253544]",157
Jonathan Hamilton,M,533340145,1999-02-01,Masters,School of Graduate Studies,0,1,['BA' 'JA'],Apartment,1,0,1,9000-10500,11500,[],163
Anna George,F,154018270,2005-03-12,Senior,School of Communication and Information,0,1,['RA' 'MRS' 'BS'],Suite,1,1,1,8000-11000,12000,[],168
James Smith,M,295129991,2001-01-09,Freshman,School of Management and Labor Relations,0,0,['TS' 'BS' 'SA'],Apartment,1,1,1,8000-11000,12000,"[482683839, 120196305]",170
Stacey Lopez,F,436046343,2002-02-01,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0,['RA' 'BS' 'NCA'],Suite,1,1,1,4000-6000,7000,"[863139651, 181067699]",180
Kevin Lindsey,M,132730246,1999-11-26,Sophomore,School of Environmental and Biological Sciences,0,1,['RA' 'SA' 'TS'],Apartment,1,1,1,4000-6000,7000,[],186
Elizabeth Smith,F,267412471,2005-09-23,Senior,School of Engineering,0,0,['BS' 'BH' 'JS'],Suite,1,1,1,4000-6000,7000,[682118152],188
John Lara,M,561274146,2001-03-09,Junior,School of Arts and Sciences,0,0,['SA' 'BS' 'TS'],Suite,1,1,1,4000-6000,7000,[],197
Sarah Reyes,F,187579928,1993-11-17,Postdoctoral studies,School of Graduate Studies,0,0,['BA' 'JA'],Apartment,1,1,1,10500-12000,13000,"[832988181, 913999827]",206
Jonathan Stewart,M,489873888,2003-05-10,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,1,['BH' 'BS' 'JS'],Apartment,1,1,1,8000-11000,12000,"[737698261, 925195783]",206
Christian Mendoza,M,970955897,2001-05-04,Junior,Edward J. Bloustein School of Planning and Public Policy,0,1,['NCA' 'BS' 'SA'],Suite,1,1,1,4000-6000,7000,"[384312357, 529267963]",207
Tiffany Mclaughlin,F,562148157,2003-06-23,Junior,School of Engineering,0,0,['BS' 'MZH' 'MH'],Suite,1,1,1,8000-11000,12000,"[824596456, 374484134]",210
Monica Wolfe,F,452387633,1994-05-25,Masters,School of Graduate Studies,0,0,['BA' 'JA'],Apartment,1,1,1,10500-12000,13000,"[251174737, 900968162]",218
